torso_pitch_des, torso_roll_des, torso_yaw_des, l_shoulder_pitch_des, l_shoulder_roll_des, l_shoulder_yaw_des, l_elbow_des, r_shoulder_pitch_des, r_shoulder_roll_des, r_shoulder_yaw_des, r_elbow_des, l_hip_pitch_des, l_hip_roll_des, l_hip_yaw_des, l_knee_des, l_ankle_pitch_des, l_ankle_roll_des, r_hip_pitch_des, r_hip_roll_des, r_hip_yaw_des, r_knee_des, r_ankle_pitch_des, r_ankle_roll_des, torso_pitch, torso_roll, torso_yaw, l_shoulder_pitch, l_shoulder_roll, l_shoulder_yaw, l_elbow, r_shoulder_pitch, r_shoulder_roll, r_shoulder_yaw, r_elbow, l_hip_pitch, l_hip_roll, l_hip_yaw, l_knee, l_ankle_pitch, l_ankle_roll, r_hip_pitch, r_hip_roll, r_hip_yaw, r_knee, r_ankle_pitch, r_ankle_roll, base_x, base_y, base_z, com_x, com_y, com_z, des_com_x, des_com_y, des_com_z, lf_des_x, lf_des_y, lf_des_z, lf_meas_x, lf_meas_y, lf_meas_z, lf_meas_d_x, lf_meas_d_y, lf_meas_d_z, rf_des_x, rf_des_y, rf_des_z, rf_meas_x, rf_meas_y, rf_meas_z, rf_meas_d_x, rf_meas_d_y, rf_meas_d_z , zmp_des_x, zmp_des_y, zmp_meas_x, zmp_meas_y, dcom_x, dcom_y, dcom_z, des_dcom_x, des_dcom_y, des_dcom_z,d_torso_pitch_des, d_torso_roll_des, d_torso_yaw_des, d_l_shoulder_pitch_des, d_l_shoulder_roll_des, d_l_shoulder_yaw_des, d_l_elbow_des, d_r_shoulder_pitch_des, d_r_shoulder_roll_des, d_r_shoulder_yaw_des, d_r_elbow_des, d_l_hip_pitch_des, d_l_hip_roll_des, d_l_hip_yaw_des, d_l_knee_des, d_l_ankle_pitch_des, d_l_ankle_roll_des, d_r_hip_pitch_des, d_r_hip_roll_des, d_r_hip_yaw_des, d_r_knee_des, d_r_ankle_pitch_des, d_r_ankle_roll_des, d_torso_pitch, d_torso_roll, d_torso_yaw, d_l_shoulder_pitch, d_l_shoulder_roll, d_l_shoulder_yaw, d_l_elbow, d_r_shoulder_pitch, d_r_shoulder_roll, d_r_shoulder_yaw, d_r_elbow, d_l_hip_pitch, d_l_hip_roll, d_l_hip_yaw, d_l_knee, d_l_ankle_pitch, d_l_ankle_roll, d_r_hip_pitch, d_r_hip_roll, d_r_hip_yaw, d_r_knee, d_r_ankle_pitch, d_r_ankle_roll, rf_adj_x, rf_adj_y, rf_adj_z, lf_adj_x, lf_adj_y, lf_adj_z, external_fx, external_fy, external_fz, external_taux, external_tauy, external_tauz, computational_time, ang_mom_x, ang_mom_y, ang_mom_z , contact_0_corner_0_x , contact_0_corner_0_y , contact_0_corner_0_z , contact_0_corner_1_x , contact_0_corner_1_y , contact_0_corner_1_z , contact_0_corner_2_x , contact_0_corner_2_y , contact_0_corner_2_z , contact_0_corner_3_x , contact_0_corner_3_y , contact_0_corner_3_z , contact_1_corner_0_x , contact_1_corner_0_y , contact_1_corner_0_z , contact_1_corner_1_x , contact_1_corner_1_y , contact_1_corner_1_z , contact_1_corner_2_x , contact_1_corner_2_y , contact_1_corner_2_z , contact_1_corner_3_x , contact_1_corner_3_y , contact_1_corner_3_z
0.114327, -0.000832422, -0.000735072, 0.208817, 0.114921, -0.209074, 0.711602, 0.207391, 0.113967, -0.208879, 0.711511, 0.0909367, 0.0255786, -0.00590222, -0.539324, -0.340279, -0.0451409, 0.105293, -0.00396843, 0.00196015, -0.570573, -0.356154, 0.0226266, 0.114761, 9.5874e-05, 0.000191748, 0.208622, 0.110255, -0.208814, 0.71407, 0.207184, 0.101051, -0.20843, 0.710714, 0.0903133, 0.0345147, -0.00939566, -0.535648, -0.340065, -0.0518679, 0.104694, -0.00661531, -0.0073823, -0.570163, -0.353679, 0.0332683, -0.005006, -0.0293663, 0.748186, 0.00263377, -0.025057, 0.70053, 0.00221803, -0.0205067, 0.699927, 0, 0.08, 0, 0, 0.08, 1.249e-16, -0.000645472, 0.0739263, -4.62009e-05,0, -0.08, 0, -0.00135202, -0.0904359, 0.000295934, -0.000563457, -0.0897788, 0.000301836, 0.00354824, 0.00882514, 0.042781, 0.0345665, 0.0462808, -0.0485316, 0.0285713, -0.000941251, -0.00374145, 7.73986e-05, -0.000672049, 0.0106742, -0.00320324, -7.02717e-05, -0.00395884, 0.000688009, -0.0028033, -0.00313507, -0.0142431, 0.00257552, -0.00208648, 0.00681585, -0.0744737, 0.0203711, -0.133045, -0.146146, 0.140797, -0.0476526, 0.0475982, -0.0172591, -0.0142368, -0.0861544, -0.111644, 0.0688376, -0.0469783, 0.116008, -0.0155316, 0.0124636, -0.000191748, -0.0218593, 0.00182161, -0.0458278, 0.00182161, -0.0240644, -0.143428, -0.0165862, -0.0617429, 0.553864, 0.241794, -0.178805, 0.143907, -0.891245, -0.0377744, -0.0954905, -0.0528266, 1.17053, 0, -0.08, 0, 0, 0.08, 0, 0, 0, 0, 0, 0, 0, 54351, -0.000690627, 0.000912515, 1.37187e-05, -0.0122061, -0.0940952, 1.48149, -0.0122679, -0.0940952, 1.41141, -0.0122679, -0.0939302, 1.379, -0.0122061, -0.0939302, 1.44907, -0.0112633, 0.000393793, 1.07464, -0.0113253, 0.000393792, 1.0045, -0.0113253, 0.00055894, 0.972071, -0.0112633, 0.000558941, 1.0422
0.114402, -0.000731419, -0.000760461, 0.208817, 0.114861, -0.209064, 0.71157, 0.207364, 0.113818, -0.208852, 0.711485, 0.0909517, 0.0249313, -0.00572577, -0.540736, -0.3417, -0.0439445, 0.104844, -0.00357713, 0.00181253, -0.570974, -0.357068, 0.0217082, 0.115624, 0.0025886, 0.00153398, 0.208334, 0.111406, -0.209005, 0.716563, 0.207088, 0.100955, -0.20843, 0.711289, 0.0907927, 0.0346105, -0.00977915, -0.535169, -0.341024, -0.0505256, 0.10527, -0.0095874, -0.00709468, -0.569875, -0.353967, 0.0271324, -0.00419641, -0.0284607, 0.74838, 0.00352789, -0.0236945, 0.700718, 0.00220862, -0.0205441, 0.699928, 0, 0.08, 0, 6.93889e-17, 0.08, -1.66533e-16, -0.00163494, 0.0732233, 0.000116285,0, -0.08, 0, -0.00137713, -0.0880397, 0.00060907, -0.00146598, -0.0902961, 0.000611171, 0.00259344, 0.0082018, 0.0449673, 0.0371174, 0.0631232, 0.0506346, 0.039264, -0.0018825, -0.00748291, 0.000154797, 0.00754624, 0.0101003, -0.00253892, -4.05429e-06, -0.00603106, 0.00103937, -0.00320617, -0.00263101, -0.0149015, 0.00266731, -0.00259953, 0.00149524, -0.0647257, 0.0176451, -0.141227, -0.142075, 0.119634, -0.0448413, 0.0391304, -0.0147615, -0.0401197, -0.0914412, -0.0918431, 0.0628934, 0.161068, 0.135182, -0.0186954, 0.0407465, -0.000862866, -0.00623181, 0.00162986, -0.0323095, 0.00153398, -0.0218593, -0.113707, 0.000766992, -0.0612635, 0.509379, 0.192899, -0.0535936, 0.146879, -0.868619, -0.0314467, -0.0646191, -0.0518679, 0.865838, 0, -0.08, 0, 0, 0.08, 0, 0, 0, 0, 0, 0, 0, 54351, -0.00138125, 0.00182503, 2.74373e-05, -0.0122061, -0.0940952, 1.48149, -0.0122679, -0.0940952, 1.41141, -0.0122679, -0.0939302, 1.379, -0.0122061, -0.0939302, 1.44907, -0.0112633, 0.000393793, 1.07464, -0.0113253, 0.000393792, 1.0045, -0.0113253, 0.00055894, 0.972071, -0.0112633, 0.000558941, 1.0422
0.114483, -0.000654473, -0.000771647, 0.208817, 0.114805, -0.209054, 0.711544, 0.207347, 0.113704, -0.208832, 0.711463, 0.0909288, 0.0244737, -0.00560202, -0.541828, -0.342746, -0.0431351, 0.104519, -0.00336464, 0.00171888, -0.571404, -0.357794, 0.0211658, 0.116199, 0.00786167, 0.00182161, 0.207855, 0.11246, -0.208814, 0.71685, 0.207184, 0.100572, -0.20843, 0.711577, 0.0915597, 0.0327889, -0.00977915, -0.535169, -0.342558, -0.0480329, 0.105174, -0.00766992, -0.00546482, -0.569875, -0.354542, 0.0202294, -0.00317512, -0.0267865, 0.748486, 0.00453901, -0.0217963, 0.700797, 0.00218979, -0.020619, 0.69993, 0, 0.08, 0, 4.16334e-17, 0.08, 1.80411e-16, -0.00279102, 0.0739494, 0.000287742,0, -0.08, 0, -0.00207124, -0.0875239, 0.000725371, -0.00253637, -0.0893937, 0.000813872, 0.00147148, 0.0090037, 0.0434707, 0.0381556, 0.0738991, 0.161552, 0.0432092, -0.00282375, -0.0112244, 0.000232196, 0.00808588, 0.0076946, -0.00111865, -2.65653e-05, -0.00555391, 0.000956631, -0.00258145, -0.00175263, -0.0114141, 0.00203215, -0.00218753, -0.00228286, -0.0457569, 0.0123748, -0.109196, -0.104602, 0.0809479, -0.0325249, 0.0212488, -0.00936562, -0.0429945, -0.0725238, -0.0542388, 0.0185037, 0.511967, 0.0306797, -0.0245438, 0.0682623, -0.00115049, 0.00766992, 0.00124636, -0.0278993, 0.00124636, -0.0179284, -0.078425, -0.00584832, -0.0511009, 0.397302, 0.110639, 0.0934772, 0.126362, -0.650026, -0.00210923, -0.0407465, -0.0574285, 0.525581, 0, -0.08, 0, 0, 0.08, 0, 0, 0, 0, 0, 0, 0, 54351, -0.00206821, 0.00273662, 4.1156e-05, -0.0122061, -0.0940952, 1.48149, -0.0122679, -0.0940952, 1.41141, -0.0122679, -0.0939302, 1.379, -0.0122061, -0.0939302, 1.44907, -0.0112633, 0.000393793, 1.07464, -0.0113253, 0.000393792, 1.0045, -0.0113253, 0.00055894, 0.972071, -0.0112633, 0.000558941, 1.0422
0.114565, -0.000593908, -0.000770405, 0.208816, 0.114754, -0.209045, 0.711524, 0.207337, 0.11362, -0.208817, 0.711444, 0.0908712, 0.0241888, -0.00552604, -0.542633, -0.343466, -0.0426601, 0.104303, -0.00331426, 0.00167388, -0.571859, -0.35836, 0.0209473, 0.116103, 0.0116966, 0.00134224, 0.207376, 0.112077, -0.208718, 0.713495, 0.207184, 0.101243, -0.208526, 0.714166, 0.0926143, 0.0288581, -0.00939566, -0.535648, -0.344092, -0.045636, 0.104886, -0.00316384, -0.00191748, -0.570546, -0.354926, 0.0163945, -0.00231241, -0.0251918, 0.748361, 0.00533762, -0.0204074, 0.700653, 0.00216155, -0.0207312, 0.699932, 0, 0.08, 0, 2.77556e-17, 0.08, 5.55112e-17, -0.00391474, 0.0763897, 0.00042995,0, -0.08, 0, -0.0032298, -0.0871847, 0.000492102, -0.00357716, -0.0867868, 0.000652917, 0.000380737, 0.0115158, 0.0420025, 0.0405637, 0.0653802, 0.150374, 0.0316099, -0.003765, -0.0149658, 0.000309594, 0.00823546, 0.00605648, 0.000124176, -6.5831e-05, -0.00512555, 0.000883242, -0.00202813, -0.0010039, -0.00835185, 0.00147543, -0.00182018, -0.00576745, -0.0284903, 0.00759857, -0.0804919, -0.0720271, 0.047494, -0.0216413, 0.00503766, -0.0044994, -0.0455458, -0.056597, -0.0218493, -0.00354734, 0.302003, -0.029721, -0.0360486, 0.0740148, 0.000671118, 0.0134224, 0.00095874, -0.0180243, 0.00095874, -0.0122719, -0.039596, -0.0468824, -0.0352816, 0.252916, 0.0431433, 0.143044, 0.0933813, -0.382154, 0.0748776, -0.0295292, -0.0656737, 0.337572, 0, -0.08, 0, 0, 0.08, 0, 0, 0, 0, 0, 0, 0, 54351, -0.00274783, 0.00364637, 5.48747e-05, -0.0122061, -0.0940952, 1.48149, -0.0122679, -0.0940952, 1.41141, -0.0122679, -0.0939302, 1.379, -0.0122061, -0.0939302, 1.44907, -0.0112633, 0.000393793, 1.07464, -0.0113253, 0.000393792, 1.0045, -0.0113253, 0.00055894, 0.972071, -0.0112633, 0.000558941, 1.0422
0.114681, -0.000552901, -0.000756014, 0.208816, 0.114709, -0.209037, 0.711511, 0.207337, 0.113576, -0.208809, 0.711431, 0.0907863, 0.0241105, -0.00550873, -0.543081, -0.34374, -0.0425966, 0.104233, -0.00346115, 0.00168808, -0.572336, -0.35868, 0.0211309, 0.116679, 0.00862866, 0.00268447, 0.207376, 0.110063, -0.20843, 0.707167, 0.206896, 0.103736, -0.20891, 0.714453, 0.0927102, 0.025119, -0.00920391, -0.539867, -0.345722, -0.0435268, 0.103927, -0.0029721, -0.000383496, -0.573518, -0.355022, 0.0141894, -0.00266554, -0.0237776, 0.747869, 0.00484306, -0.0195763, 0.700236, 0.0021239, -0.0208809, 0.699935, 0, 0.08, 0, -2.77556e-17, 0.08, -8.32667e-17, -0.00275049, 0.0788083, 0.000181204,0, -0.08, 0, -0.00362711, -0.0843246, 0.000200477, -0.00233765, -0.0842093, 0.000120585, 0.00157506, 0.0140028, 0.0251181, 0.0357631, 0.0469932, 0.07076, 0.0123676, -0.00470626, -0.0187073, 0.000386993, 0.0115966, 0.0041007, 0.00143918, 1.66954e-05, -0.00446155, 0.000763802, -0.00133037, 4.46868e-05, -0.0044595, 0.000763542, -0.00134982, -0.00849199, -0.00783783, 0.00173043, -0.0447974, -0.0273884, 0.00634721, -0.0069428, -0.0146882, 0.00141971, -0.0476428, -0.0320774, 0.0183576, 0.0328848, -0.393084, 0.0920391, -0.0340353, 0.0224345, 0.00604006, -0.000671118, -0.00115049, 0.026653, -0.00287622, -0.00373909, -0.00920391, -0.12061, -0.00910803, 0.0950112, -0.0123678, 0.147742, 0.0602089, -0.248218, 0.1371, -0.0368156, -0.0632769, 0.267201, 0, -0.08, 0, 0, 0.08, 0, 0, 0, 0, 0, 0, 0, 54351, -0.00341645, 0.00455334, 6.85933e-05, -0.0122061, -0.0940952, 1.48149, -0.0122679, -0.0940952, 1.41141, -0.0122679, -0.0939302, 1.379, -0.0122061, -0.0939302, 1.44907, -0.0112633, 0.000393793, 1.07464, -0.0113253, 0.000393792, 1.0045, -0.0113253, 0.00055894, 0.972071, -0.0112633, 0.000558941, 1.0422
0.114627, -0.000534772, -0.000729952, 0.208813, 0.114713, -0.209038, 0.711515, 0.207338, 0.113595, -0.208812, 0.711434, 0.0907527, 0.0241274, -0.00551313, -0.542869, -0.343617, -0.0426866, 0.104288, -0.00369345, 0.0017297, -0.572316, -0.358693, 0.0214586, 0.11572, -0.000383496, 0.00421846, 0.207759, 0.1069, -0.207759, 0.705633, 0.207184, 0.106324, -0.208814, 0.708605, 0.0921349, 0.0221469, -0.00977915, -0.544852, -0.346393, -0.0431433, 0.102393, -0.00383496, -0.000671118, -0.576682, -0.355405, 0.0162986, -0.00385945, -0.0235316, 0.747202, 0.00338952, -0.0203513, 0.699664, 0.00207684, -0.0210679, 0.699939, 0, 0.08, 0, 6.93889e-17, 0.08, 2.35922e-16, -0.000591331, 0.0808085, -0.000182232,0, -0.08, 0, -0.00348738, -0.0818635, -0.000254927, -1.81865e-05, -0.0820571, -0.000624422, 0.0037981, 0.0160705, 0.0128284, 0.0312359, 0.00757487, 0.00958676, -0.00944117, -0.00564751, -0.0224487, 0.000464392, -0.00548365, 0.00181284, 0.00260614, -0.000347314, 0.000323861, -4.14161e-05, 0.000407716, 0.000123632, 0.00190909, -0.000331882, 0.000296926, -0.00335601, 0.001699, -0.000439955, 0.0211843, 0.0122792, -0.00899573, 0.00549127, -0.0232299, 0.00416184, 0.0019903, -0.0012771, 0.0327682, -0.0466907, -0.739189, 0.216675, -0.0268447, -0.0583873, 0.0179284, -0.0436227, 0.000191748, 0.0983668, -0.00747817, -0.00134224, -0.0051772, -0.196638, -0.0107379, -0.0622222, -0.0447732, 0.116679, 0.0174491, -0.225112, 0.101531, -0.0936689, -0.0567574, 0.26327, 0, -0.08, 0, 0, 0.08, 0, 0, 0, 0, 0, 0, 0, 54351, -0.00407038, 0.00545663, 8.2312e-05, -0.0122061, -0.0940952, 1.48149, -0.0122679, -0.0940952, 1.41141, -0.0122679, -0.0939302, 1.379, -0.0122061, -0.0939302, 1.44907, -0.0112633, 0.000393793, 1.07464, -0.0113253, 0.000393792, 1.0045, -0.0113253, 0.00055894, 0.972071, -0.0112633, 0.000558941, 1.0422
0.11441, -0.000525272, -0.000700291, 0.208804, 0.114744, -0.209043, 0.711529, 0.207335, 0.113645, -0.208821, 0.711447, 0.0907468, 0.0241679, -0.00551833, -0.542283, -0.343456, -0.0427853, 0.104381, -0.00393823, 0.00177764, -0.571949, -0.358684, 0.0217845, 0.114378, -0.00757405, 0.00354734, 0.209005, 0.104886, -0.207184, 0.702469, 0.20728, 0.106228, -0.208814, 0.706783, 0.0915597, 0.0201335, -0.0100668, -0.548304, -0.346009, -0.0437186, 0.100572, -0.00536895, -0.000575244, -0.578504, -0.35598, 0.0202294, -0.00523885, -0.0239288, 0.746663, 0.00175546, -0.0213922, 0.699182, 0.00202037, -0.0212924, 0.699944, 0, 0.08, 0, 1.38778e-17, 0.08, -1.38778e-17, 0.00132426, 0.0822854, -0.000456557,0, -0.08, 0, -0.00358612, -0.079572, -0.000673516, 0.00198306, -0.080435, -0.00127858, 0.00574776, 0.0176103, 0.00949947, 0.0301409, -0.0288782, 0.0099316, -0.0227293, -0.00658876, -0.0261902, 0.00054179, -0.0216539, 0.000950048, 0.00296609, -0.000926808, 0.00314569, -0.000499892, 0.00139484, -0.000385052, 0.0050404, -0.000846836, 0.00127489, -0.000588166, 0.00404142, -0.000519353, 0.0586255, 0.0160583, -0.00986597, 0.00926527, -0.0244784, 0.00479435, 0.0367348, 0.000950383, 0.0325927, -0.111981, -0.481288, -0.151481, -0.00393084, -0.124924, 0.0313508, -0.0929978, 0.0029721, 0.104694, -0.0051772, -0.024352, -0.0172573, -0.231536, -0.0232015, -0.158767, -0.0520596, 0.0840815, -0.0404588, -0.187817, 0.0804383, -0.142085, -0.053306, 0.237096, 0, -0.08, 0, 0, 0.08, 0, 0, 0, 0, 0, 0, 0, 54351, -0.00470597, 0.0063553, 9.60307e-05, -0.0122061, -0.0940952, 1.48149, -0.0122679, -0.0940952, 1.41141, -0.0122679, -0.0939302, 1.379, -0.0122061, -0.0939302, 1.44907, -0.0112633, 0.000393793, 1.07464, -0.0113253, 0.000393792, 1.0045, -0.0113253, 0.00055894, 0.972071, -0.0112633, 0.000558941, 1.0422
0.114231, -0.000523196, -0.000667322, 0.208796, 0.114773, -0.209048, 0.711544, 0.207336, 0.113706, -0.208831, 0.71146, 0.0907233, 0.0242952, -0.00554955, -0.54161, -0.343124, -0.0430557, 0.104528, -0.00426093, 0.00184986, -0.571648, -0.358583, 0.0222725, 0.114282, -0.00920391, 0.00249272, 0.211498, 0.104407, -0.206992, 0.701031, 0.207088, 0.105078, -0.208814, 0.707646, 0.0911762, 0.0191748, -0.00968328, -0.547345, -0.34553, -0.0438144, 0.100188, -0.00450608, -0.00182161, -0.578696, -0.356172, 0.0197501, -0.00522769, -0.0240023, 0.746657, 0.00167468, -0.0217228, 0.699151, 0.00195448, -0.0215543, 0.699949, 0, 0.08, 0, 1.38778e-17, 0.08, -8.32667e-17, 0.00148664, 0.0830699, -0.000396586,0, -0.08, 0, -0.00399757, -0.0796084, -0.000738891, 0.00211581, -0.0795133, -0.00137557, 0.00589836, 0.0184514, 0.00461923, 0.0256597, -0.0339408, 0.0422672, -0.0234997, -0.00753001, -0.0299316, 0.000619189, -0.0178696, 0.000207537, 0.00329691, -0.000817095, 0.00293985, -0.000470187, 0.00152099, 0.000115342, 0.00612782, -0.00105461, 0.0013076, -0.00235285, 0.0127375, -0.00312249, 0.0672696, 0.0332132, -0.0270469, 0.0146791, -0.0322702, 0.00722202, 0.0300303, 0.0101037, 0.0487979, 0.0185037, -0.0105461, -0.113131, 0.0553193, -0.153974, 0.0361445, -0.153398, 0.000287622, 0.0612635, -0.00421846, -0.0463072, -0.0241603, -0.216388, -0.0124636, -0.165287, -0.0433351, 0.0700839, -0.0627975, -0.119555, 0.0476494, -0.130197, -0.0503339, 0.161452, 0, -0.08, 0, 0, 0.08, 0, 0, 0, 0, 0, 0, 0, 54351, -0.00531955, 0.00724843, 0.000109749, -0.0122061, -0.0940952, 1.48149, -0.0122679, -0.0940952, 1.41141, -0.0122679, -0.0939302, 1.379, -0.0122061, -0.0939302, 1.44907, -0.0112633, 0.000393793, 1.07464, -0.0113253, 0.000393792, 1.0045, -0.0113253, 0.00055894, 0.972071, -0.0112633, 0.000558941, 1.0422
0.114203, -0.000526318, -0.000632112, 0.208794, 0.114789, -0.20905, 0.711556, 0.207347, 0.113766, -0.208842, 0.711469, 0.0906776, 0.0245078, -0.00560993, -0.541031, -0.342534, -0.0435137, 0.104726, -0.004661, 0.00194435, -0.571596, -0.358302, 0.0229384, 0.115049, -0.00872454, 0.0022051, 0.212457, 0.105366, -0.207184, 0.706304, 0.207471, 0.104407, -0.208718, 0.704482, 0.0912721, 0.0195583, -0.00949153, -0.544756, -0.345338, -0.0441979, 0.100188, -0.00383496, -0.00182161, -0.578504, -0.356268, 0.0184078, -0.00448189, -0.0242668, 0.746886, 0.00241692, -0.0219463, 0.699339, 0.00187918, -0.0218536, 0.699955, 0, 0.08, 0, -5.55112e-17, 0.08, -9.71445e-17, 0.000603768, 0.0829206, -0.000238508,0, -0.08, 0, -0.0050367, -0.0802256, -0.000546606, 0.00120278, -0.0795334, -0.00118789, 0.00500351, 0.0183554, -0.00254448, 0.0200932, -0.0169275, 0.0410871, -0.0153914, -0.00847126, -0.0336731, 0.000696587, -0.0027927, -0.000312184, 0.00352099, -0.000191184, 0.00151237, -0.000253653, 0.00119594, 0.00114297, 0.00599099, -0.00107536, 0.000883429, -0.00456451, 0.0212606, -0.00603749, 0.0579177, 0.0590619, -0.0457936, 0.0198392, -0.0400068, 0.00944934, 0.00520986, 0.0280178, 0.0665922, 0.0275158, 0.0354734, -0.00095874, 0.0935731, -0.111406, 0.028954, -0.166533, 0.00153398, 0.0280911, -0.00345147, -0.0535936, -0.0172573, -0.168067, -0.00393084, -0.101339, -0.0376785, 0.0649067, -0.0599213, -0.0615511, 0.0147646, -0.10642, -0.0421846, 0.0947235, 0, -0.08, 0, 0, 0.08, 0, 0, 0, 0, 0, 0, 0, 54351, -0.00590744, 0.0081351, 0.000123468, -0.0122061, -0.0940952, 1.48149, -0.0122679, -0.0940952, 1.41141, -0.0122679, -0.0939302, 1.379, -0.0122061, -0.0939302, 1.44907, -0.0112633, 0.000393793, 1.07464, -0.0113253, 0.000393792, 1.0045, -0.0113253, 0.00055894, 0.972071, -0.0112633, 0.000558941, 1.0422
0.114261, -0.000533507, -0.000595867, 0.208796, 0.114802, -0.209053, 0.711567, 0.207365, 0.113831, -0.208854, 0.711477, 0.0906371, 0.0247603, -0.00568427, -0.540467, -0.341726, -0.0440521, 0.104962, -0.00509302, 0.00204775, -0.571626, -0.357839, 0.0236756, 0.115336, -0.00690293, 0.0022051, 0.21169, 0.10642, -0.207184, 0.709084, 0.207567, 0.103832, -0.208622, 0.704099, 0.091368, 0.0198459, -0.00968328, -0.543702, -0.345242, -0.0452525, 0.100284, -0.00402671, -0.00095874, -0.578408, -0.356172, 0.0184078, -0.00417351, -0.0249843, 0.746901, 0.00275535, -0.022381, 0.69935, 0.00179447, -0.0221904, 0.699962, 0, 0.08, 0, -2.77556e-17, 0.08, -1.38778e-17, 0.000251211, 0.0828873, -0.000206726,0, -0.08, 0, -0.00540748, -0.0801127, -0.000577381, 0.000876212, -0.079443, -0.00122235, 0.00466128, 0.0183746, -0.00862761, 0.0175596, -0.00617307, 0.0486843, -0.0101938, -0.00941251, -0.0374145, 0.000773986, 0.00573855, -0.000718832, 0.00362457, 0.000289287, 0.0013594, -0.00024877, 0.0011633, 0.00180584, 0.00642865, -0.00117916, 0.000807409, -0.00405171, 0.0252427, -0.007434, 0.0564066, 0.080763, -0.0538447, 0.0235767, -0.0432016, 0.0103395, -0.00300677, 0.0463708, 0.0737161, 0.0275158, 0.194624, 0.00095874, 0.0737271, -0.0579079, 0.0210923, -0.133936, 0.00556069, 0.0125595, 0, -0.0673036, -0.00939566, -0.132019, -0.00249272, -0.0644274, -0.0335559, 0.0553193, -0.0532101, -0.00834104, 0.025886, -0.0783291, -0.0316384, 0.0415135, 0, -0.08, 0, 0, 0.08, 0, 0, 0, 0, 0, 0, 0, 54351, -0.00646598, 0.00901438, 0.000137187, -0.0122061, -0.0940952, 1.48149, -0.0122679, -0.0940952, 1.41141, -0.0122679, -0.0939302, 1.379, -0.0122061, -0.0939302, 1.44907, -0.0112633, 0.000393793, 1.07464, -0.0113253, 0.000393792, 1.0045, -0.0113253, 0.00055894, 0.972071, -0.0112633, 0.000558941, 1.0422
